Parent,Reference,SiO2 ,Al2O3 ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 ,MnO ,FeO *,K2O+Na2O,Cr2O3 
12015,82,,8.7,12.3,8.9,0.239,0.06,2.9,,0.269,20.5,0.299,0.621
12016,82,,8.2,15.1,8.2,0.258,0.049,3.5,,0.252,22.2,0.307,0.554
12017,82,,9.6,8.7,10.1,0.267,0.071,3.3,,0.271,20.1,0.338,0.513
12019,82,,9.6,9.2,9.1,0.253,0.053,3,,0.252,20.61,0.306,0.536
12040,82,,7.8,17.1,6.9,0.199,0.039,2.6,,0.255,20.9,0.238,0.605
12046,82,,10.5,7.3,10.6,0.293,0.063,4.6,,0.259,20.2,0.356,0.294
12054,82,,10.1,7.7,10,0.291,0.062,4.7,,0.262,20.2,0.353,0.314
12061,82,,8.8,11.6,9.1,0.276,0.057,4.9,,0.274,21.9,0.333,0.469
12062,82,,10.3,8.1,9.9,0.297,0.06,4.6,,0.266,20.7,0.357,0.31
12072,82,,8.5,13.3,8.7,0.227,0.059,3,,0.262,21.3,0.286,0.55
12076,82,,8.5,14.6,9,0.222,0.056,2.8,,0.257,21.2,0.278,0.604
12077,82,,7.7,15.7,7.7,0.202,0.05,2.5,,0.267,21.2,0.252,0.738
12072,134,48.14,11.64,8.57,11.38,0.37,0.04,1.81,,,17.46,0.41,0.4
12004,167,45.24,8.51,12.53,8.99,0.23,0.07,2.8,0.05,0.28,20.65,0.3,0.68
12051,167,45.54,9.95,6.82,11.33,0.31,0.04,4.74,0.07,0.28,20.19,0.35,0.36
12052,167,46.59,10.24,8.14,10.7,0.27,0.067,3.3,0.083,0.258,19.82,0.337,0.537
12065,167,46.87,10.05,7.82,10.73,0.27,0.073,3.34,0.13,0.256,19.76,0.343,0.5
12012,176,35,11,17.5,9.3,0.53,0.055,3.1,,0.17,23,0.585,0.57
12004,176,37,10.5,15,10,0.48,0.058,3.4,,0.23,23,0.538,0.85
12015,176,38,11,14,9.8,0.37,0.062,3.2,,0.33,22,0.432,0.57
12022,176,36,11,13,11,0.36,0.068,5.1,,0.17,22,0.428,0.39
12009,176,41,11,12.5,10,0.51,0.063,3.3,,0.19,20,0.573,0.76
12065,176,39,12,9,12.6,0.39,0.072,3.8,,0.41,22,0.462,0.51
12052,176,42,11,10,11,0.45,0.069,3.6,,0.31,21,0.519,0.54
12064,176,40,12,8,12,0.42,0.084,4.9,,0.32,22,0.504,0.44
12038,176,49,12,6.5,11,0.6,0.057,3.2,,0.26,17,0.657,0.32
12009,226,45,8.59,11.6,9.42,0.23,0.06,2.9,0.07,0.28,21,0.29,0.55
12015,226,45,8.57,11.9,9.21,0.23,0.06,2.86,0.06,0.29,20.2,0.29,0.68
12072,226,48.2,8.5,13.3,8.7,0.23,0.06,3,,0.26,21.3,0.29,0.55
12011,226,46.6,9.77,8.26,10.6,0.25,0.06,3.29,0.07,0.29,19.5,0.31,0.59
12043,226,46.8,10.1,7.68,11,0.27,0.06,3.38,0.06,0.29,19.5,0.33,0.5
12022,226,43.2,9.04,10.4,9.56,0.47,0.07,5.16,0.13,0.25,21.4,0.54,0.56
12045,226,42.3,8.06,11.6,9.09,0.26,0.07,4.78,0.09,0.29,22.1,0.33,0.59
12011,322,46.59,10.02,9.59,10.55,0.33,0.02,3.25,0.03,0.28,19.31,0.35,0.68
12043,322,47.11,10.56,7.9,11.15,0.27,0.02,3.39,0.06,0.13,19.52,0.29,0.47
12007,322,48.03,12.13,5.67,12.07,0.4,0.04,3.82,0.08,0.22,17.85,0.44,0.24
